Summer2025HuntTile.create!(
      [
        {id: 1, group_id: 1, field_tile_type_id: 1, gimmick_tile_type_id: 3, gimmick_tile_type_value: 0, is_movable: 1, position_x: 2, position_y: 2},
        {id: 2, group_id: 1, field_tile_type_id: 1, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 1, position_x: 3, position_y: 2},
        {id: 3, group_id: 1, field_tile_type_id: 1, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 1, position_x: 4, position_y: 2},
        {id: 4, group_id: 1, field_tile_type_id: 1, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 1, position_x: 5, position_y: 2},
        {id: 5, group_id: 1, field_tile_type_id: 1, gimmick_tile_type_id: 2, gimmick_tile_type_value: 0, is_movable: 1, position_x: 6, position_y: 2},
        {id: 6, group_id: 1, field_tile_type_id: 1, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 1, position_x: 6, position_y: 3},
        {id: 7, group_id: 1, field_tile_type_id: 1, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 1, position_x: 6, position_y: 4},
        {id: 8, group_id: 1, field_tile_type_id: 1, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 1, position_x: 6, position_y: 5},
        {id: 9, group_id: 1, field_tile_type_id: 1, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 1, position_x: 6, position_y: 6},
        {id: 10, group_id: 1, field_tile_type_id: 1, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 1, position_x: 6, position_y: 7},
        {id: 11, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 11, position_y: 7},
        {id: 12, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 12, position_y: 7},
        {id: 13, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 13, position_y: 7},
        {id: 14, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 14, position_y: 7},
        {id: 15, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 15, position_y: 7},
        {id: 16, group_id: 1, field_tile_type_id: 1, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 1, position_x: 6, position_y: 8},
        {id: 17, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 11, position_y: 8},
        {id: 18, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 12, position_y: 8},
        {id: 19, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 13, position_y: 8},
        {id: 20, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 14, position_y: 8},
        {id: 21, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 15, position_y: 8},
        {id: 22, group_id: 1, field_tile_type_id: 1, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 1, position_x: 6, position_y: 9},
        {id: 23, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 11, position_y: 9},
        {id: 24, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 12, position_y: 9},
        {id: 25, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 13, position_y: 9},
        {id: 26, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 14, position_y: 9},
        {id: 27, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 15, position_y: 9},
        {id: 28, group_id: 1, field_tile_type_id: 1, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 1, position_x: 6, position_y: 10},
        {id: 29, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 11, position_y: 10},
        {id: 30, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 12, position_y: 10},
        {id: 31, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 14, position_y: 10},
        {id: 32, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 15, position_y: 10},
        {id: 33, group_id: 1, field_tile_type_id: 1, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 1, position_x: 6, position_y: 11},
        {id: 34, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 11, position_y: 11},
        {id: 35, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 12, position_y: 11},
        {id: 36, group_id: 1, field_tile_type_id: 0, gimmick_tile_type_id: 8, gimmick_tile_type_value: 1, is_movable: 1, position_x: 13, position_y: 11},
        {id: 37, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 14, position_y: 11},
        {id: 38, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 15, position_y: 11},
        {id: 39, group_id: 1, field_tile_type_id: 1, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 1, position_x: 6, position_y: 12},
        {id: 40, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 11, position_y: 12},
        {id: 41, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 12, position_y: 12},
        {id: 42, group_id: 1, field_tile_type_id: 1, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 1, position_x: 13, position_y: 12},
        {id: 43, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 14, position_y: 12},
        {id: 44, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 15, position_y: 12},
        {id: 45, group_id: 1, field_tile_type_id: 1, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 1, position_x: 6, position_y: 13},
        {id: 46, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 11, position_y: 13},
        {id: 47, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 12, position_y: 13},
        {id: 48, group_id: 1, field_tile_type_id: 1, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 1, position_x: 13, position_y: 13},
        {id: 49, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 14, position_y: 13},
        {id: 50, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 15, position_y: 13},
        {id: 51, group_id: 1, field_tile_type_id: 1, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 1, position_x: 6, position_y: 14},
        {id: 52, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 11, position_y: 14},
        {id: 53, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 12, position_y: 14},
        {id: 54, group_id: 1, field_tile_type_id: 1, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 1, position_x: 13, position_y: 14},
        {id: 55, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 14, position_y: 14},
        {id: 56, group_id: 1, field_tile_type_id: 2, gimmick_tile_type_id: 0, gimmick_tile_type_value: 0, is_movable: 0, position_x: 15, position_y: 14},
        {id: 57, group_id: 1, field_tile_type_id: 1, gimmick_tile_type_id: 6, gimmick_tile_type_value: 1, is_movable: 1, position_x: 6, position_y: 15},
